ID_Vzorky,Typ_Chleba,Svetlost_korky,Porezovitost_striedky,Kvasnicova_aroma,Sladkost_aromy,Oreskova_aroma,Intenzita_chuti,Kyslost,Sladkost_chuti,Slanost,Maslovost,Chrumkavost_korky,Makkost_striedky,Zuvatelnost,Vlhkost
Viac_1,Viaczrnny_fit,2.8,4.5,3.8,3.2,8.5,7.8,2.1,2.3,5.9,1.5,6.8,5.2,7.3,6.1
Kvas_1,Kvaskovy_tradicny,3.9,7.8,8.8,1.9,3.3,8.2,7.7,1.6,6.2,2.1,9.3,3.8,7.9,7.2
Biel_1,Biely_toastovy,8.2,6.1,2.9,4.1,1.4,3.1,1.6,3.7,5.1,2.6,2.8,9.2,3.1,5.3
Masl_1,Maslova_brioska,7.1,5.2,5.1,8.2,4.1,6.7,1.8,7.8,4.2,9.3,3.9,8.7,4.2,6.6
Viac_2,Viaczrnny_fit,3.1,3.8,4.2,2.8,7.9,7.4,2.6,1.9,5.4,1.6,7.2,5.1,6.9,5.8
Kvas_2,Kvaskovy_tradicny,4.2,8.3,8.4,2.2,2.8,7.9,7.4,1.4,5.9,1.9,8.8,4.1,8.2,6.9
Masl_2,Maslova_brioska,6.8,4.9,4.8,7.8,3.8,6.4,2.2,7.3,3.8,8.8,4.2,8.4,3.8,6.4
Biel_2,Biely_toastovy,7.8,5.8,3.2,3.9,1.6,2.8,1.4,3.4,4.8,2.4,3.2,8.9,2.8,4.8
Viac_3,Viaczrnny_fit,2.6,4.3,3.7,3.4,8.8,7.9,2.3,2.5,5.7,1.4,6.6,5.4,7.5,6.3
Kvas_3,Kvaskovy_tradicny,3.7,8.1,8.9,1.7,3.1,8.4,7.9,1.2,6.4,2.3,9.5,3.6,8.1,7.4
Biel_3,Biely_toastovy,8.4,6.3,2.7,4.3,1.2,3.3,1.2,3.9,5.3,2.8,2.6,9.4,3.3,5.5
Masl_3,Maslova_brioska,7.3,5.4,5.3,8.4,4.3,6.9,1.6,8.1,4.4,9.5,3.7,8.9,4.4,6.8
Viac_4,Viaczrnny_fit,3.3,3.6,4.4,2.6,7.7,7.2,2.8,1.7,5.2,1.8,7.4,4.9,6.7,5.6
Kvas_4,Kvaskovy_tradicny,4.4,7.6,8.2,2.4,2.6,7.7,7.2,1.8,5.7,1.7,8.6,4.3,7.7,6.7
Biel_4,Biely_toastovy,7.6,5.6,3.4,3.7,1.8,2.6,1.8,3.2,4.6,2.2,3.4,8.7,2.6,4.6
Masl_4,Maslova_brioska,6.6,4.7,4.6,7.6,3.6,6.2,2.4,7.1,3.6,8.6,4.4,8.2,3.6,6.2
Viac_5,Viaczrnny_fit,2.4,4.1,3.5,3.6,9.1,8.1,2.1,2.7,5.9,1.2,6.4,5.6,7.7,6.5
Kvas_5,Kvaskovy_tradicny,3.5,8.5,9.1,1.5,3.5,8.6,8.1,1.1,6.6,2.5,9.7,3.4,8.3,7.6
Biel_5,Biely_toastovy,8.6,6.5,2.5,4.5,1.1,3.5,1.1,4.1,5.5,3.1,2.4,9.6,3.5,5.7
Masl_5,Maslova_brioska,7.5,5.6,5.5,8.6,4.5,7.1,1.4,8.3,4.6,9.7,3.5,9.1,4.6,7.1
Viac_6,Viaczrnny_fit,3.5,3.4,4.6,2.4,7.5,7.1,3.1,1.5,5.1,2.1,7.6,4.7,6.5,5.4
Kvas_6,Kvaskovy_tradicny,4.6,7.4,8.1,2.6,2.4,7.5,7.1,2.1,5.5,1.5,8.4,4.5,7.5,6.5
Biel_6,Biely_toastovy,7.4,5.4,3.6,3.5,2.1,2.4,2.1,3.1,4.4,2.1,3.6,8.5,2.4,4.4
Masl_6,Maslova_brioska,6.4,4.5,4.4,7.4,3.4,6.1,2.6,6.9,3.4,8.4,4.6,8.1,3.4,6.1
Viac_7,Viaczrnny_fit,2.2,4.8,3.3,3.8,9.3,8.3,1.9,2.9,6.1,1.1,6.2,5.8,7.9,6.7
Kvas_7,Kvaskovy_tradicny,3.3,8.7,9.3,1.3,3.7,8.8,8.3,1.3,6.8,2.7,9.9,3.2,8.5,7.8
Biel_7,Biely_toastovy,8.8,6.7,2.3,4.7,1.3,3.7,1.3,4.3,5.7,3.3,2.2,9.8,3.7,5.9
Masl_7,Maslova_brioska,7.7,5.8,5.7,8.8,4.7,7.3,1.2,8.5,4.8,9.9,3.3,9.3,4.8,7.3
Viac_8,Viaczrnny_fit,3.7,3.2,4.8,2.2,7.3,6.9,3.3,1.3,4.9,2.3,7.8,4.5,6.3,5.2
Kvas_8,Kvaskovy_tradicny,4.8,7.2,7.9,2.8,2.2,7.3,6.9,2.3,5.3,1.3,8.2,4.7,7.3,6.3
