ID_Vzorky,Typ_Salamy,Farba_rezu,Viditelnost_tuku,Lesk_rezu,Udena_aroma,Pikantna_aroma,Bylinkova_aroma,Kyslasta_aroma,Intenzita_chuti,Slanost,Pikantnost_chuti,Udena_chut,Bylinkova_chut,Kyslost_chuti,Tuhost_pri_hryze
PAPR_1,Paprikova_pikant,8.8,6.5,8.2,1.8,8.8,1.0,5.2,8.7,7.2,8.8,1.8,1.0,4.2,5.1
UDEN_1,Udena_karpaty,4.9,5.2,2.8,9.2,1.8,1.0,7.2,8.2,8.2,1.3,9.2,1.3,6.2,9.1
TALI_1,Talianska_klasik,7.1,8.3,5.1,1.4,4.2,1.4,6.2,7.1,7.7,3.1,1.4,1.1,5.1,6.1
BYLI_1,Bylinkova_special,5.8,7.2,3.8,1.0,1.3,9.2,7.7,7.6,6.1,1.0,1.0,8.7,6.6,7.1
PAPR_2,Paprikova_pikant,9.1,6.2,8.1,2.1,8.6,1.0,5.1,8.6,7.1,8.6,2.1,1.0,4.1,5.2
UDEN_2,Udena_karpaty,5.2,5.1,2.9,9.1,1.9,1.0,7.1,8.1,8.1,1.4,9.1,1.4,6.1,9.2
TALI_2,Talianska_klasik,6.8,8.1,4.9,1.6,4.1,1.6,6.1,6.9,7.6,2.9,1.6,1.2,4.9,5.9
BYLI_2,Bylinkova_special,6.1,7.1,3.9,1.0,1.4,9.1,7.6,7.5,6.2,1.0,1.0,8.6,6.5,7.2
PAPR_3,Paprikova_pikant,9.3,5.8,8.3,1.7,8.9,1.0,4.8,8.9,6.8,8.9,1.7,1.0,3.8,4.8
UDEN_3,Udena_karpaty,4.7,4.8,2.7,9.3,1.7,1.0,7.3,8.3,8.3,1.2,9.3,1.2,6.3,9.3
TALI_3,Talianska_klasik,7.3,8.5,5.2,1.3,4.3,1.3,6.3,7.2,7.8,3.2,1.3,1.0,5.2,6.2
BYLI_3,Bylinkova_special,5.7,7.3,3.7,1.0,1.2,9.3,7.8,7.7,5.8,1.0,1.0,8.8,6.7,7.3
PAPR_4,Paprikova_pikant,8.7,6.3,7.8,2.2,8.3,1.0,5.3,8.3,7.3,8.3,2.2,1.0,4.3,5.3
UDEN_4,Udena_karpaty,5.3,5.3,3.1,8.8,2.2,1.0,6.8,7.8,7.8,1.7,8.8,1.7,5.8,8.8
TALI_4,Talianska_klasik,6.7,7.8,4.7,1.7,3.8,1.7,5.8,6.7,7.3,2.7,1.7,1.3,4.7,5.7
BYLI_4,Bylinkova_special,6.3,6.8,4.1,1.0,1.7,8.8,7.3,7.3,6.3,1.0,1.0,8.3,6.3,6.8
PAPR_5,Paprikova_pikant,9.5,5.6,8.5,1.5,9.1,1.0,4.6,9.1,6.6,9.1,1.5,1.0,3.6,4.6
UDEN_5,Udena_karpaty,4.5,4.6,2.5,9.5,1.5,1.0,7.5,8.5,8.5,1.0,9.5,1.0,6.5,9.5
TALI_5,Talianska_klasik,7.5,8.7,5.4,1.1,4.5,1.1,6.5,7.4,8.1,3.4,1.1,1.0,5.4,6.4
